race_date,race_city,race_no,result,horse_name,horse_accessories,horse_age,horse_sex,horse_origin,horse_sire,horse_dam,hors_broodmare_sire,jockey_weight,jockey_name,horse_owner,horse_trainer,horse_race_degree,horse_win_value,horse_psf_rate,horse_psf_rank,Horse_starting_box_no,horse_margin,horse_late_start,horse_rate,race_type,race_sex_group,race_age_group,race_race_group,race_length,race_track_type,race_track_condition,best_rating
2024-01-01,Bursa,1,1,MY REVERIE,KG K DB,3y,f,BLUEGRASS CAT (USA)- LEGALLY INCLUDED (USA) / INCLUDE (USA),BLUEGRASS CAT (USA),LEGALLY INCLUDED (USA),INCLUDE (USA),56,TUGAY ALICI,NİMET ARİF KURTEL,TAMER TURAN,1.31.26,1.5,49,1,1,9 Lengths,,42,Condition 2,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,1,2,NOBLE WOMAN,KG DB SK,3y,f,SCARFACE- PROVIDENCE / SRI PEKAN (USA),SCARFACE,PROVIDENCE,SRI PEKAN (USA),58,ONUR YILDIZ,AHMET KURT,TUNCAY PELEN,1.33.05,3.75,20,2,4,Half Lengths,,43,Condition 2,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,1,3,ÇİSEM SULTAN,KG K DB SGKR,3y,f,SMART ROBIN (JPN)- SNOOZY TIMES / ROYAL ABJAR (USA),SMART ROBIN (JPN),SNOOZY TIMES,ROYAL ABJAR (USA),56,SELİM İPEK,BÜLENT BAYBURAN,KAZIM ŞENGEL,1.33.17,28.7,3,6,3,3 Lengths,,33,Condition 2,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,1,4,OKYANUS GÜZELİ,SKG SK,3y,f,SIDNEY'S CANDY (USA)- NURSENA / SCARFACE,SIDNEY'S CANDY (USA),NURSENA,SCARFACE,56,OĞUZ EREN,DİLEK ÖKTEN,ALİ RIZA AYDIN,1.33.65,14.85,3,5,6,4 Lengths,,39,Condition 2,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,1,5,MOUNTAIN LION,DB SK,3y,m,LION HEART (USA)- SAN MARINO / SRI PEKAN (USA),LION HEART (USA),SAN MARINO,SRI PEKAN (USA),57,BERKANT GÖKÇE,SEMİH KATI,MURAT TÜRKOĞLU,1.34.30,4.55,17,3,5,,,51,Condition 2,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,1,6,KING UĞUR,KG DB SK,3y,m,PIANO SONATA- DOLPHINE / DOMINO EFFECT,PIANO SONATA,DOLPHINE,DOMINO EFFECT,58,YUNUS EMRE YÜKSEL,ALİ OSMAN ARSLAN,SEDAT KOÇAK,1.37.55,9.9,7,4,2,,,42,Condition 2,Undefined,3 Years Old,English,1400,Dirt,Good Going,1.24.50
2024-01-01,Bursa,2,1,ÇELİK EFE,K DB,4y,m,JOKER- GÜLŞİRİN / SAĞANAK,JOKER,GÜLŞİRİN,SAĞANAK,58,MAHMUT TURAN,İBRAHİM ÇELİK,KADİR TURAN,1.42.45,6.35,16,3,5,3 Lengths,,27,Maiden,Undefined,4 Years Old,Arabian,1400,Dirt,Good Going,1.33.63
2024-01-01,Bursa,2,2,EYLÜLLİZE,KG K DB,4y,f,YAKUPBEY- AŞKANA / ODİNHAN,YAKUPBEY,AŞKANA,ODİNHAN,53,SEZER ÇELİK,İBRAHİM YÖNTEM,FERDİ KIRAN,1.43.00,17.5,3,7,7,3 Lengths,,28,Maiden,Undefined,4 Years Old,Arabian,1400,Dirt,Good Going,1.33.63
2024-01-01,Bursa,2,3,PARİS ÖZLEMİ,,4y,f,SİLAH- PARİS / DEMİRKAZIK,SİLAH,PARİS,DEMİRKAZIK,56,ÇETİN OK,MUHAMMET YAĞMURLU,EYLEM GÜN GÜNEŞ,1.43.56,21.95,2,6,8,"1,5 Lengths","1,5 Lengths",0,Maiden,Undefined,4 Years Old,Arabian,1400,Dirt,Good Going,1.33.63
2024-01-01,Bursa,2,4,HAS TARKAN,KG K,4y,m,BİLGİN- TACİSERİM / AYABAKAN,BİLGİN,TACİSERİM,AYABAKAN,56,YUNUS EMRE YÜKSEL,HAKKI TARIK DİKENCİK,MELEK ÖZGÜL,1.43.79,1.75,34,1,4,Nose,,33,Maiden,Undefined,4 Years Old,Arabian,1400,Dirt,Good Going,1.33.63
